peak_g_mag,std_g_mag,peak_sma150,peak_hp8_vertical,peak_rms150,peak_jerk_mag,max_elevated_dur,peak_hp8_planar,pitch_range,rot_x_range,is_event,impact_timestamp_iso8601,impact_elapsed_sec,impact_source_sample_idx,source_folder,athlete_name
13.90669,2.218826419665313,6.653761333333334,7.918948712426663,6.381081995375078,77042.04306740563,0.065,5.532292528581956,0.7722600000000001,18.04364,True,2026-06-24T19:29:57.582Z,6164.549,7189,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
5.83677,1.2079284657950067,3.6630006666666666,2.239936050499645,3.2354264236521693,513.4892296407005,0.03,3.2001598523188544,0.5209900000000001,9.346969999999999,False,2026-06-24T19:29:58.577Z,6165.544,7289,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
11.27128,1.3759291384510153,4.768366666666667,3.247388198345696,4.126045050233941,1112.0015564759608,0.04,5.823160586447111,0.92449,8.867750000000001,False,2026-06-24T19:41:29.066Z,6856.033,7376,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
4.91739,1.0478059539255358,5.097582000000001,2.240859796400808,3.393787413651966,468.2056100807754,0.02,1.7021645587300802,0.4550900000000001,7.507149999999999,False,2026-06-24T19:41:29.902Z,6856.869,7460,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
12.22127,1.7847497522381226,7.881416,7.012360148117286,5.939062491696816,2090.0007021624438,0.04,4.987342312301143,0.9673700000000001,7.009359999999999,True,2026-06-24T19:41:30.769Z,6857.736,7547,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
4.40622,0.9952096389683358,5.381618666666666,1.8869782973295512,3.475871430734073,304.2686289876102,0.0,1.2067604191024632,1.86008,13.10463,False,2026-06-24T19:41:31.604Z,6858.571,7631,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
6.69775,1.1539801856291867,4.8935075,1.0323311070329175,3.373447766418406,527594.7719604506,0.021,3.064496222346157,0.8526900000000001,7.582420000000001,False,2026-06-24T19:41:32.962Z,6859.929,7768,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
6.69775,1.152535003252851,4.8935075,1.6650172625004234,3.373447766418406,527594.7719604506,0.03,3.064496222346157,1.0681100000000001,7.5104299999999995,False,2026-06-24T19:41:33.421Z,6860.388,7814,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
5.19933,1.0901176797022267,3.869271333333333,1.7298205718643764,3.168219609067528,527594.7719604506,0.03,1.6288159020067328,0.98199,5.934699999999999,False,2026-06-24T19:41:33.747Z,6860.714,7847,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
5.06884,1.1101635790134534,4.221212666666667,1.771018462738798,3.2687240782696847,259.40290549692565,0.031,0.8387763462780995,0.9379599999999999,7.37171,False,2026-06-24T19:41:34.673Z,6861.64,7940,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
12.46272,1.9536832729518774,6.05910625,3.3684992844249417,5.434495675631119,1125.5013363359458,0.085,4.710475219033852,0.61233,15.56799,True,2026-06-24T19:41:37.247Z,6864.214,8198,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
9.47845,1.8519133109925598,5.367837499999999,3.456650573389019,4.452858997784457,535.3980441296469,0.05,2.125791554038351,1.10754,10.62536,False,2026-06-24T19:41:38.950Z,6865.917,8369,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
20.01608,2.709095984837224,8.660857333333333,7.712825782838784,7.879012682152927,1694.6604943692998,0.07,9.429289937009354,0.84416,18.91037,True,2026-06-24T19:41:41.288Z,6868.255,8604,movement data/movement-2F266230-0215-48E3-BA1D-C8468FFCC3D0,Cael McCarthy
